"","focal","year","complexity.plant","parameter","positive.perc","neg.perc","null.perc","positive.perc_hat","neg.perc_hat","null.perc_hat","positive.perc_mean","positive.perc_var","neg.perc_mean","neg.perc_var","mean.estimate","median.estimate","ten.estimate","ninety.estimate","var.estimate","mean.estimate_hat","median.estimate_hat","ten.estimate_hat","ninety.estimate_hat","var.estimate_hat","positive.perc_overall"
"84","HOMA",2019,"code.plant","Plant - floral visitor",0.5,0.5,0,0,0,0,0.506125,2.13294580911258e-05,0.493875,2.13294580911284e-05,5.4570735957502e-05,1.479861e-05,-0.113914732,0.115738268,0.00964746344847318,NA,NA,NA,NA,NA,0
"85","HOMA",2020,"class","Intraspecific",0,1,0,0,0,0,0.336249999999983,0.0454247452965686,0.663750000000013,0.0454247452965688,-0.248020171893178,-0.248293827166956,-0.311469988945582,-0.184414076792196,0.00294598422240079,NA,NA,NA,NA,NA,0
"86","HOMA",2020,"class","Plant - plant",0.53875,0.46125,0,0,0,0,0.336249999999983,0.0454247452965686,0.663750000000013,0.0454247452965688,0.00470950258268538,0.00470728808239395,-0.0463416143935096,0.0556337781613469,0.00189445188772787,NA,NA,NA,NA,NA,0
"87","HOMA",2020,"class","Plant - herbivore",0.3065,0.6935,0,0,0,0,0.336249999999983,0.0454247452965686,0.663750000000013,0.0454247452965688,-0.023578098148499,-0.0238564226199256,-0.0786753767869322,0.0308091963230588,0.00218003777909028,NA,NA,NA,NA,NA,0
"88","HOMA",2020,"class","Plant - floral visitor",0.49975,0.50025,0,0,0,0,0.336249999999983,0.0454247452965686,0.663750000000013,0.0454247452965688,0.000850082624487748,-1.39940595e-05,-0.112271256,0.115603356,0.00954901997397287,NA,NA,NA,NA,NA,0
"89","HOMA",2020,"family","Intraspecific",0,1,0,0,0,0,0.369187500000019,0.0472669659040945,0.63081249999999,0.0472669659040939,-0.235110657116214,-0.234970651194118,-0.290706751228837,-0.176944966603949,0.00242365322102213,NA,NA,NA,NA,NA,0
"90","HOMA",2020,"family","Plant - plant",0.42875,0.57125,0,0,0,0,0.369187500000019,0.0472669659040945,0.63081249999999,0.0472669659040939,-0.00790196032119415,-0.00776898934452325,-0.0639601076144286,0.0483428840637023,0.0021935010279215,NA,NA,NA,NA,NA,0
"91","HOMA",2020,"family","Plant - herbivore",0.54925,0.45075,0,0,0,0,0.369187500000019,0.0472669659040945,0.63081249999999,0.0472669659040939,0.00518772744592258,0.00490437546082181,-0.0430913035360983,0.0547657344809496,0.00171575291646628,NA,NA,NA,NA,NA,0
"92","HOMA",2020,"family","Plant - floral visitor",0.49875,0.50125,0,0,0,0,0.369187500000019,0.0472669659040945,0.63081249999999,0.0472669659040939,-0.000663147946964999,-0.00053229345,-0.119493764,0.11914454,0.0103118814913405,NA,NA,NA,NA,NA,0
"93","HOMA",2020,"code.plant","Intraspecific",0,1,0,0,0,0,0.440312500000019,0.0729290385336244,0.559687499999987,0.0729290385336243,-0.233853577212067,-0.23453301302952,-0.288398743076984,-0.177829403897997,0.00218602644449507,NA,NA,NA,NA,NA,0.0024375
